name,marke,kategorie,zutaten,energieKj,energieKcal,fett,gesaettigteFettsaueren,kohlenhydrate,zucker,eiweiss,salz,ean,preis,quelleUrl,bildUrl
"Ortenauer Weinkeller Affentaler Spätburgunder trocken 0,75L","Ortenauer Weinkellerei GmbH, Edekastr. 1, D-77656 Offenburg",Deftige Küche,Enthält SULFITE.,,,,,,,,,0,5.29,https://www.edeka24.de/Aktionen/Deftige-Kueche/Ortenauer-Weinkeller-Affentaler-Spaetburgunder-trocken-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/ortenauer_weinkeller_affentaler_sptburgunder_trocken.jpg
Alnatura Bio Reinweinstein Backpulver 72G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Straße 7, 64295 Darmstadt, www.alnatura.de",Backzutaten von Alnatura,"Maisstärke* , Backtriebmittel: Natriumhydrogencarbonat (E 500ii); Säuerungsmittel: Monokaliumtartrat (E 336i) 25%. Kann Spuren von SOJA, MANDEL, WALNUSS, CASHEWNUSS und LUPINE enthalten. *aus biologischer Landwirtschaft",748,176,"0,5","0,1",44,"0,5","0,5","17,1",0,1.29,https://www.edeka24.de/Bio-Produkte/Lebensmittel-von-Alnatura/Backzutaten-von-Alnatura/Alnatura-Bio-Reinweinstein-Backpulver-72G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/bio_alnatura_reinweinstein_backpulver_72g(1).jpg
Senseo Kaffee Pads mild 32ST 222G,"Jacobs Douwe Egberts DE GmbH, Langemarckstraße 4 - 20, 28199 Bremen, www.jacobsdouweegberts.com",Kaffeepads,100% Arabica.,,,,,,,,,0,6.29,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffeepads/Senseo-Kaffee-Pads-mild-32ST-222G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/senseomild32.jpg
"Wikinger Met Honigwein 0,75L","Waldemar Behn GmbH, Kadekerweg 2, D-24340 Eckernförde",Liköre & Bitter,"Wasser, Honig, Hefe. Enthält Sulfite.",,,,,,,,,0,6.29,https://www.edeka24.de/Wein-Spirituosen/Spirituosen/Likoere-Bitter/Wikinger-Met-Honigwein-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/wikinger-met-glas.jpg
"Contessa Marina Primitivo di Marina IGT 0,75L",,Italien,Enthält Sulfite.,,,,,,,,,0,7.99,https://www.edeka24.de/Wein-Spirituosen/Rotwein/Italien/Contessa-Marina-Primitivo-di-Marina-IGT-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/contessa_marina_primitivo_di_marina_igt_075l.jpg
"Odenwald Kaiserkirschen entsteint, gezuckert 700G","Andros Deutschland GmbH, Bahnhofstraße 31, 64747 Breuberg, www.andros.de",Konserven,"Kirschen, Wasser, Zucker, Glukose-Fruktose-Sirup, Farbstoff E127.",78,331,"0,5","0,1",18,16,"0,5","0,01",0,4.59,https://www.edeka24.de/Lebensmittel/Konserven/Odenwald-Kaiserkirschen-entsteint-gezuckert-700G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/odenwald_kaiserkirschen_entsteint_700g(1).jpg
EDEKA Herzstücke Stockschwämmchen 290G,"EDEKA Zentrale Stiftung & Co. KG, New-York-Ring 6, 22291 Hamburg, www.edeka.de",Konserven,"Chinesische Stockschwämmchen, Wasser, Speisesalz, Säuerungsmittel: Citronensäure; Antioxidationsmittel: Ascorbinsäure.",75,18,"0,6","0,3","1,4","0,1","1,3","0,7",0,2.99,https://www.edeka24.de/Lebensmittel/Konserven/EDEKA-Herzstuecke-Stockschwaemmchen-290G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/edeka_stockschwmmchen_290g.jpg
Alnatura Bio Tomatenstücke Kräuter 400G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Straße 7, 64295 Darmstadt, www.alnatura.de",Konserven von Alnatura,"Tomaten* geschält und gestückelt, Tomatensaft*, Basilikum*, Oregano*, Säureregulator: Zitronensäure *aus biologischer Landwirtschaft.",109,26,"0,5","0,1","4,8","4,4",1,"0,03",0,1.09,https://www.edeka24.de/Bio-Produkte/Lebensmittel-von-Alnatura/Konserven-von-Alnatura/Alnatura-Bio-Tomatenstuecke-Kraeuter-400G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/bio_alnatura_tomatenstcke_kruter_400g.jpg
Senseo Milka Choco Pads 8ST 112G,"Jacobs Douwe Egberts, Oosterdokstraat 80, 1011 DK Amsterdam",Kaffeepads,"MAGERMILCHPULVER, Kokosfett ganz gehärtet, Zucker, Glukosesirup, fettarmes Kakaopulver (10%), Salz, Stabilisator (E340), Trennmittel (E341), Süßungsmittel (E950, E955), gebrannter Zucker.",210,50,"1,9","1,7","5,8","4,4","1,9","0,25",0,3.79,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffeepads/Senseo-Milka-Choco-Pads-8ST-112G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/senseo_milka_schopads_8st112g.jpg
Alnatura Bio Dinkel Basis Müsli 500G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Str. 7, 64295 Darmstadt",Müsli-Cerealien,"DINKELFLOCKEN*¹ 85%, DINKELFLAKES*¹ 10 %, Sonnenblumenkerne*, Kürbiskerne*. Kann Spuren von SOJA, MANDEL, NÜSSEN und SESAM enthalten. *aus biologischer Landwirtschaft ¹ Dinkel ist eine Urweizenart",1540,365,"5,1","0,7",60,"0,9",15,"0,01",0,3.29,https://www.edeka24.de/Lebensmittel/Fruehstueck-Snacks/Muesli-Cerealien/Alnatura-Bio-Dinkel-Basis-Muesli-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alnatura_bio_dinkel_basis_msli_500g.jpg
